iter	RMSE
0	20.82059348
1	19.94175622
2	19.05066515
3	18.22781572
4	17.43562194
5	16.68347499
6	15.98199008
7	15.3237924
8	14.71015743
9	14.11722359
10	13.56009871
11	13.02650666
12	12.52649079
13	12.04730564
14	11.60281659
15	11.19938453
16	10.80308069
17	10.44463674
18	10.08604078
19	9.756769044
20	9.459172116
21	9.178739707
22	8.913441072
23	8.675644485
24	8.436878791
25	8.214868748
26	8.016308305
27	7.823607538
28	7.647791376
29	7.483552472
30	7.335611378
31	7.188651724
32	7.052607281
33	6.929775803
34	6.824298953
35	6.713963704
36	6.613881335
37	6.519804074
38	6.434936575
39	6.350049398
40	6.276151426
41	6.206775371
42	6.139656209
43	6.078527202
44	6.024230465
45	5.976078491
46	5.922582935
47	5.875902257
48	5.833358602
49	5.789350387
50	5.752491039
51	5.71668662
52	5.686398261
53	5.65369221
54	5.622565112
55	5.596994257
56	5.565507542
57	5.539755485
58	5.516506568
59	5.497888829
60	5.477478442
61	5.456696621
62	5.432695698
63	5.412673349
64	5.395478332
65	5.377570415
66	5.360432956
67	5.34324336
68	5.326949419
69	5.303336413
70	5.291783037
71	5.276915405
72	5.262196558
73	5.252153191
74	5.231052668
75	5.217959841
76	5.209215486
77	5.19927143
78	5.192446603
79	5.184379099
80	5.176007205
81	5.16483592
82	5.15636088
83	5.148982674
84	5.140623852
85	5.130000982
86	5.11675983
87	5.110150605
88	5.103015436
89	5.097776729
90	5.082781245
91	5.073611522
92	5.068554383
93	5.063737862
94	5.056163043
95	5.048159649
96	5.042767441
97	5.032845945
98	5.026964027
99	5.016436639
100	4.998957127
101	4.993308576
102	4.984237798
103	4.971581055
104	4.967392393
105	4.959471887
106	4.95262297
107	4.944283017
108	4.938498312
109	4.930217697
110	4.91883807
111	4.91474608
112	4.910040958
113	4.896426196
114	4.889765574
115	4.884211631
116	4.878794304
117	4.874090363
118	4.860205256
119	4.846370691
120	4.840007026
121	4.831074483
122	4.825893918
123	4.822315264
124	4.816490833
125	4.810900042
126	4.806524316
127	4.799039858
128	4.787800325
129	4.782298738
130	4.778708367
131	4.766988534
132	4.763626502
133	4.760751483
134	4.753464778
135	4.7432448
136	4.734168017
137	4.721763483
138	4.712955055
139	4.706376236
140	4.703036621
141	4.691295709
142	4.684892333
143	4.678294307
144	4.675070674
145	4.668804586
146	4.659450062
147	4.646372149
148	4.641178339
149	4.638098055
150	4.631758118
151	4.627743508
152	4.617046735
153	4.611897625
154	4.601061664
155	4.594293817
156	4.588666982
157	4.585356849
158	4.571336
159	4.563834498
160	4.557565292
161	4.550921933
162	4.546748331
163	4.541804659
164	4.53331313
165	4.52251181
166	4.518719634
167	4.514347158
168	4.511609064
169	4.49850029
170	4.494248061
171	4.489534235
172	4.484079652
173	4.471265804
174	4.460651444
175	4.450722827
176	4.442954962
177	4.434682595
178	4.417693211
179	4.410251162
180	4.400903467
181	4.396113705
182	4.391558027
183	4.380739992
184	4.374407203
185	4.369254602
186	4.360475859
187	4.355022815
188	4.350642405
189	4.345176853
190	4.339004999
191	4.33092166
192	4.325448592
193	4.320196287
194	4.313666485
195	4.306547181
196	4.298233469
197	4.293542925
198	4.289520043
199	4.281575387
200	4.276597098
201	4.269108303
202	4.265738073
203	4.256630497
204	4.249623691
205	4.243534405
206	4.24041282
207	4.233029303
208	4.226409643
209	4.220028528
210	4.214539112
211	4.208277986
212	4.204598282
213	4.199375119
214	4.190813748
215	4.186633815
216	4.17989853
217	4.175889924
218	4.172723289
219	4.167283052
